file_name,role_guess,quality_status,thickness_mm_from_name,manufacturing_bbox_source,bbox_width_mm,bbox_height_mm,raw_bbox_width_mm,raw_bbox_height_mm,closed_loop_count,open_endpoint_count,connected_component_count,circle_count,arc_count,line_count,polyline_count,warning_count,source_path
16029-22-01-01 储物柜门板12╱12 展开图(0.8).DXF,door_panel,rule_seed_candidate,0.8,largest_closed_loop,492.0,1878.6,492.0,1878.6,1,0,1,3,5,75,0,1,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\16029-22-01-01 储物柜门板12╱12 展开图(0.8).DXF
16029-22-01-02 储物柜门板12╱12 门框加强筋 展开图(0.8).DXF,door_panel,rule_seed_candidate,0.8,largest_closed_loop,1800.5,66.8,1800.5,66.8,1,0,1,30,0,4,0,0,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\16029-22-01-02 储物柜门板12╱12 门框加强筋 展开图(0.8).DXF
储物柜门板1╱12展开图.DXF,door_panel,geometry_rule_seed_only,,largest_closed_loop,473.4,181.9,473.4,181.9,1,0,1,2,1,65,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\储物柜门板1╱12展开图.DXF
储物柜门板2╱12展开图.DXF,door_panel,geometry_rule_seed_only,,largest_closed_loop,473.4,334.4,473.4,334.4,1,0,1,4,1,65,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\储物柜门板2╱12展开图.DXF
储物柜门板3╱12展开图.DXF,door_panel,geometry_rule_seed_only,,largest_closed_loop,473.4,486.9,473.4,486.9,1,0,1,2,1,65,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\储物柜门板3╱12展开图.DXF
储物柜门板4╱12展开图.DXF,door_panel,geometry_rule_seed_only,,largest_closed_loop,473.4,639.4,473.4,639.4,1,0,1,2,1,65,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\储物柜门板4╱12展开图.DXF
储物柜门板5╱12展开图.DXF,door_panel,geometry_rule_seed_only,,largest_closed_loop,473.4,791.9,473.4,791.9,1,0,1,2,1,65,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\储物柜门板5╱12展开图.DXF
储物柜门板6╱12展开图.DXF,door_panel,geometry_rule_seed_only,,largest_closed_loop,473.4,944.4,473.4,944.4,1,0,1,2,1,65,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\储物柜门板6╱12展开图.DXF
后下门板展开图.DXF,door_panel,geometry_rule_seed_only,,largest_closed_loop,503.4,954.4,503.4,954.4,1,0,1,15,2,48,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\后下门板展开图.DXF
箱体横层板L展开图.DXF,shelf,geometry_rule_seed_only,,largest_closed_loop,574.4,480.4,574.4,480.4,7,20,17,11,11,80,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\箱体横层板L展开图.DXF
箱体横层板R展开图.DXF,shelf,needs_closed_loop_rebuild,,raw_curve_bbox_closed_loop_too_small,480.4,574.4,480.4,574.4,1,0,7,22,22,130,0,3,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\箱体横层板R展开图.DXF
箱体横层板加强筋展开图.DXF,shelf,geometry_rule_seed_only,,largest_closed_loop,71.4,429.0,71.4,429.0,1,0,1,6,2,6,0,1,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\箱体横层板加强筋展开图.DXF
箱体竖隔板L展开图.DXF,divider,geometry_rule_seed_only,,largest_closed_loop,583.7,1856.6,583.7,1856.6,20,0,20,90,12,192,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\箱体竖隔板L展开图.DXF
箱体竖隔板R展开图.DXF,divider,geometry_rule_seed_only,,largest_closed_loop,583.7,1856.6,583.7,1856.6,20,0,20,90,12,192,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\箱体竖隔板R展开图.DXF
箱体竖隔板加强件展开图.DXF,divider,geometry_rule_seed_only,,largest_closed_loop,341.2,164.6,341.2,164.6,3,0,3,6,0,36,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\箱体竖隔板加强件展开图.DXF
门框 横隔板R展开图.DXF,divider,geometry_rule_seed_only,,largest_closed_loop,445.0,50.0274,445.0,50.0274,1,0,1,10,0,19,0,1,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\门框 横隔板R展开图.DXF
门框 横隔板展开图.DXF,divider,geometry_rule_seed_only,,largest_closed_loop,49.9848,445.0,49.9848,445.0,1,0,1,5,0,19,0,1,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\门框 横隔板展开图.DXF
门框 竖隔板L展开图.DXF,divider,geometry_rule_seed_only,,largest_closed_loop,49.3,1834.0,49.3,1834.0,1,0,1,12,0,100,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\门框 竖隔板L展开图.DXF
门框 竖隔板R展开图.DXF,divider,geometry_rule_seed_only,,largest_closed_loop,1834.0,49.4274,1834.0,49.4274,1,0,1,24,0,100,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\2.钣金展开图\门框 竖隔板R展开图.DXF
